,Unnamed: 0,VIVIENDA_REF_ID,SEG_REF_ID,LOC,CV12,CV13,CC4,CC5,CC6,CC7,CC9,CC10,CC11,CC12,AGLO,URP,CANTPERS,CANTHOG,CV951,CV94RA,CV952,MUNI,V0T,CV94,TIPOVIV,V4,CC8,V10,V5,V11,RADIO_REF_ID,FRAC_REF_ID,IDRADIO,DPTO_REF_ID,IDFRAC,PROV_REF_ID,IDDPTO,DPTO,NOMDEPTO,RC01
177937,177937,7405249,235642,18105030,4,11,1,1,1,1,2,1,1,2,103,1,7,1,100,1800,1405,180036,10,0,1,0,2,1,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177938,177938,7405250,235642,18105030,1,4,1,1,1,1,2,1,1,2,103,1,1,1,100,1800,1405,180036,10,0,1,1,2,1,1,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177939,177939,7405251,235642,18105030,1,4,1,1,1,1,2,1,1,2,103,1,5,1,100,1800,1405,180036,10,0,1,0,2,1,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177940,177940,7405252,235642,18105030,1,4,1,1,1,1,2,1,1,2,103,1,3,1,100,1800,1405,180036,10,0,1,0,2,1,2,3,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177941,177941,7405253,235642,18105030,9,15,1,1,1,1,2,1,1,2,103,1,0,0,100,1800,1405,180036,4,0,2,10,2,0,5,9,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177942,177942,7405254,235643,18105030,1,13,2,1,1,1,1,1,1,2,103,1,4,1,100,1800,1405,180036,10,0,1,1,2,1,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177943,177943,7405255,235643,18105030,9,15,2,1,1,1,1,1,1,2,103,1,0,0,100,1800,1405,180036,1,0,2,10,2,0,5,9,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177944,177944,7405256,235643,18105030,9,15,2,1,1,1,1,1,1,2,103,1,0,0,100,1800,1405,180036,7,0,2,10,2,0,5,9,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177945,177945,7405257,235643,18105030,1,4,2,1,1,1,1,1,1,2,103,1,5,1,100,1800,1405,180036,10,0,1,0,2,1,1,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177946,177946,7405258,235643,18105030,1,4,2,1,1,1,1,1,1,2,103,1,6,1,100,1800,1405,180036,10,0,1,1,2,2,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177947,177947,7405259,235643,18105030,4,11,2,1,1,1,1,1,1,2,103,1,8,1,100,1800,1405,180036,10,0,1,2,2,1,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177948,177948,7405260,235643,18105030,9,15,2,1,1,1,1,1,1,2,103,1,0,0,100,1800,1405,180036,1,0,2,10,2,0,5,9,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177949,177949,7405261,235643,18105030,1,4,2,1,1,1,1,1,1,2,103,1,4,1,100,1800,1405,180036,10,0,1,0,2,1,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177950,177950,7405262,235643,18105030,1,4,2,1,1,1,1,1,1,2,103,1,1,1,100,1800,1405,180036,10,0,1,0,2,1,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177951,177951,7405263,235643,18105030,1,4,2,1,1,1,1,1,1,2,103,1,2,1,100,1800,1405,180036,10,0,1,0,2,1,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177952,177952,7405264,235643,18105030,1,11,2,1,1,1,1,1,1,2,103,1,3,1,100,1800,1405,180036,10,0,1,1,2,1,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177953,177953,7405265,235643,18105030,1,11,2,1,1,1,1,1,1,2,103,1,8,1,100,1800,1405,180036,10,0,1,2,2,3,4,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177954,177954,7405266,235643,18105030,9,15,2,1,1,1,1,1,1,2,103,1,0,0,100,1800,1405,180036,1,0,2,10,2,0,5,9,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177955,177955,7405267,235643,18105030,4,4,2,1,1,1,1,1,1,2,103,1,2,2,100,1800,1405,180036,10,0,1,1,2,2,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177956,177956,7405268,235643,18105030,1,4,2,1,1,1,1,1,1,2,103,1,6,1,100,1800,1405,180036,10,0,1,0,2,1,1,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177957,177957,7405269,235643,18105030,1,4,2,1,1,1,1,1,1,2,103,1,4,1,100,1800,1405,180036,10,0,1,0,2,1,1,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177958,177958,7405270,235643,18105030,9,15,2,1,1,1,1,1,1,2,103,1,0,0,100,1800,1405,180036,1,0,2,10,2,0,5,9,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177959,177959,7405271,235643,18105030,1,4,2,1,1,1,1,1,1,2,103,1,6,2,100,1800,1405,180036,10,0,1,0,2,1,1,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177960,177960,7405272,235643,18105030,1,4,2,1,1,1,1,1,1,2,103,1,5,1,100,1800,1405,180036,10,0,1,0,2,1,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177961,177961,7405273,235643,18105030,9,15,2,1,1,1,1,1,1,2,103,1,0,0,100,1800,1405,180036,1,0,2,10,2,0,5,9,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177962,177962,7405274,235643,18105030,9,15,2,1,1,1,1,1,1,2,103,1,0,0,100,1800,1405,180036,8,0,2,10,2,0,5,9,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177963,177963,7405275,235644,18105030,1,11,2,1,2,2,2,1,1,2,103,1,3,1,100,1800,1405,180036,10,0,1,0,2,1,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177964,177964,7405276,235644,18105030,1,4,2,1,2,2,2,1,1,2,103,1,3,1,100,1800,1405,180036,10,0,1,0,2,1,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177965,177965,7405277,235644,18105030,1,4,2,1,2,2,2,1,1,2,103,1,3,1,100,1800,1405,180036,10,0,1,0,2,1,1,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177966,177966,7405278,235644,18105030,1,4,2,1,2,2,2,1,1,2,103,1,7,1,100,1800,1405,180036,10,0,1,0,2,1,1,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177967,177967,7405279,235644,18105030,1,4,2,1,2,2,2,1,1,2,103,1,1,1,100,1800,1405,180036,10,0,1,1,2,1,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177968,177968,7405280,235644,18105030,9,15,2,1,2,2,2,1,1,2,103,1,0,0,100,1800,1405,180036,7,0,2,10,2,0,5,9,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177969,177969,7405281,235644,18105030,4,4,2,1,2,2,2,1,1,2,103,1,7,1,100,1800,1405,180036,10,0,1,1,2,2,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
