,Unnamed: 0,VIVIENDA_REF_ID,SEGMENTO_REF_ID,VIVIENDA,MANZANA,CONDOCUP,VIVCOLECT,TIPOVIV,CANTHOGAR,PAREDES,TECHO,PISOS,ELECTRIC,AGUA,OBTAGUA,CMV60UNBI,CMV61HJEF,CMV29PEVI,CMV27ARPO,CMV79NCAJ,CMV16CTOS,CMV15TCAS,CMV14INOD,CMV13DINO,CMV23NBI,CMV2AHACI,CMV2BTIVI,CMV2CRETR,CMV2DEDES,CMV2ECASU,CMV08PERS,CMV05TALO,CMV24LOCO,PROVORIG,RADIO_REF_ID,SEGMENTO,FRACCION_REF_ID,RADIO,DEPTO_REF_ID,FRACCION,PROVIN_REF_ID,DEPTO,NOMBDEPTO,RC91
80664,80664,1907485,127566,5,008,1,10,1,1,1,4,2,1,3,1,4,100,1,0,430096,100,2,3,7,1,0,0,1,0,0,3,6,3800,18,21293,4,2461,01,205,01,5,105,Mercedes                                          ,181050101
80665,80665,1907486,127566,6,008,1,10,1,1,1,4,2,1,3,1,4,100,1,0,430096,100,2,3,7,0,0,0,0,0,0,4,6,3800,18,21293,4,2461,01,205,01,5,105,Mercedes                                          ,181050101
80666,80666,1907487,127566,7,008,1,10,1,1,1,4,2,3,3,1,4,100,1,0,430096,100,2,3,7,1,0,0,0,0,1,9,6,3800,18,21293,4,2461,01,205,01,5,105,Mercedes                                          ,181050101
80667,80667,1907488,127566,8,008,1,10,1,1,1,4,2,1,3,1,4,100,1,0,430096,100,2,3,7,1,0,0,1,0,0,6,6,3800,18,21293,4,2461,01,205,01,5,105,Mercedes                                          ,181050101
80668,80668,1907489,127566,9,008,1,10,1,1,1,4,2,3,3,1,4,100,1,0,430096,100,2,3,7,2,1,0,0,1,0,9,6,3800,18,21293,4,2461,01,205,01,5,105,Mercedes                                          ,181050101
80669,80669,1907490,127566,10,008,1,10,1,1,1,4,2,3,3,1,4,100,1,0,430096,100,2,3,7,0,0,0,0,0,0,3,6,3800,18,21293,4,2461,01,205,01,5,105,Mercedes                                          ,181050101
80670,80670,1907491,127566,11,008,1,10,1,1,1,4,2,1,3,1,4,100,1,0,430096,100,2,3,7,0,0,0,0,0,0,5,6,3800,18,21293,4,2461,01,205,01,5,105,Mercedes                                          ,181050101
80671,80671,1907492,127566,12,008,1,10,9,1,1,4,2,1,3,1,4,100,1,0,430096,100,0,3,7,1,0,0,1,0,0,7,6,3800,18,21293,4,2461,01,205,01,5,105,Mercedes                                          ,181050101
80672,80672,1907493,127566,13,008,1,10,1,1,1,4,2,1,3,1,4,100,1,0,430096,100,2,3,7,0,0,0,0,0,0,3,6,3800,18,21293,4,2461,01,205,01,5,105,Mercedes                                          ,181050101
80673,80673,1907494,127566,14,008,1,10,1,1,1,4,2,1,3,1,4,100,1,0,430096,100,2,3,7,2,1,0,0,1,0,9,6,3800,18,21293,4,2461,01,205,01,5,105,Mercedes                                          ,181050101
