,Unnamed: 0,VIVIENDA_REF_ID,RADIO_REF_ID,TIPVV,V01,V02,V00,URP,INCALSERV,INMAT,MUNI,LOCAL,INCALCONS,TOTHOG,FRAC_REF_ID,IDRADIO,DPTO_REF_ID,IDFRAC,PROV_REF_ID,IDDPTO,DPTO,NOMDPTO,RC10
204008,204008,8364785,29442,1,1,1,0,1,1,3,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204009,204009,8364786,29442,1,1,1,0,1,1,3,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204010,204010,8364787,29442,1,1,1,0,1,1,2,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204011,204011,8364788,29442,1,1,1,0,1,1,3,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204012,204012,8364789,29442,1,1,7,0,1,0,0,181050245,18105030,0,3,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204013,204013,8364790,29442,1,1,1,0,1,1,3,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204014,204014,8364791,29442,1,1,1,0,1,1,2,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204015,204015,8364792,29442,1,1,1,0,1,1,2,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204016,204016,8364793,29442,1,1,1,0,1,1,3,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204017,204017,8364794,29442,1,1,1,0,1,1,2,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204018,204018,8364795,29442,1,1,1,0,1,1,3,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204019,204019,8364796,29442,1,1,1,0,1,1,3,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204020,204020,8364797,29442,1,1,1,0,1,1,3,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204021,204021,8364798,29442,1,1,1,0,1,3,2,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204022,204022,8364799,29442,1,1,1,0,1,1,2,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204023,204023,8364800,29442,1,1,1,0,1,1,1,181050245,18105030,1,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204024,204024,8364801,29442,1,2,1,0,1,3,4,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204025,204025,8364802,29442,1,1,1,0,1,1,3,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204026,204026,8364803,29442,1,1,1,0,1,1,3,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204027,204027,8364804,29442,1,1,1,0,1,1,2,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204028,204028,8364805,29442,1,1,1,0,1,1,1,181050245,18105030,1,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204029,204029,8364806,29442,1,1,1,0,1,1,2,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204030,204030,8364807,29442,1,1,1,0,1,1,2,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
